id,order_id,product_id,quantity,total,updated_at_x,created_at_x,name,price,status,date,time,weekday,hour
176,71,3,8,80,2025-05-17 16:00:04,2025-05-17 16:00:04,chaii,10,1,2025-05-17,16:00:04,Saturday,16
177,71,7,2,20,2025-05-17 16:00:04,2025-05-17 16:00:04,Chach,10,1,2025-05-17,16:00:04,Saturday,16
178,71,8,1,60,2025-05-17 16:00:04,2025-05-17 16:00:04,Lunch normal,60,1,2025-05-17,16:00:04,Saturday,16
179,71,9,2,30,2025-05-17 16:00:04,2025-05-17 16:00:04,Coffee,15,1,2025-05-17,16:00:04,Saturday,16
180,71,15,1,40,2025-05-17 16:00:04,2025-05-17 16:00:04,Fruit,40,1,2025-05-17,16:00:04,Saturday,16
181,71,17,2,70,2025-05-17 16:00:04,2025-05-17 16:00:04,Idli / sambar bada,35,1,2025-05-17,16:00:04,Saturday,16
182,72,7,3,30,2025-05-17 16:02:41,2025-05-17 16:02:41,Chach,10,1,2025-05-17,16:02:41,Saturday,16
183,73,28,5,100,2025-05-17 16:02:55,2025-05-17 16:02:55,Lemon water,20,1,2025-05-17,16:02:55,Saturday,16
184,74,28,5,100,2025-05-17 16:02:56,2025-05-17 16:02:56,Lemon water,20,1,2025-05-17,16:02:56,Saturday,16
185,75,3,2,20,2025-05-19 16:23:07,2025-05-19 16:23:07,chaii,10,1,2025-05-19,16:23:07,Monday,16
186,76,3,3,30,2025-05-19 16:23:59,2025-05-19 16:23:59,chaii,10,1,2025-05-19,16:23:59,Monday,16
187,77,3,3,30,2025-05-19 16:24:40,2025-05-19 16:24:40,chaii,10,1,2025-05-19,16:24:40,Monday,16
188,78,3,2,20,2025-05-19 16:25:03,2025-05-19 16:25:03,chaii,10,1,2025-05-19,16:25:03,Monday,16
189,79,3,8,80,2025-05-19 16:27:11,2025-05-19 16:27:11,chaii,10,1,2025-05-19,16:27:11,Monday,16
190,79,7,2,20,2025-05-19 16:27:11,2025-05-19 16:27:11,Chach,10,1,2025-05-19,16:27:11,Monday,16
